alfa,beta,po,time,distance
9.6,0.6,0.1,1.1279266357421875,347.2
9.6,1.1,0.1,0.8243032932281494,291.6
9.6,1.6,0.1,1.4012783527374268,349.4
9.6,2.1,0.1,1.3054973602294921,306.0
9.6,2.6,0.1,1.8758483409881592,361.0
9.6,3.1,0.1,1.087876033782959,338.2
9.6,3.6,0.1,0.8967144012451171,289.8
9.6,4.1,0.1,1.3541878700256347,368.6
9.6,4.6,0.1,1.297153615951538,351.6
9.6,5.1,0.1,1.1268765926361084,301.2
9.6,5.6,0.1,1.3954733848571776,344.2
9.6,6.1,0.1,1.0776832580566407,329.6
9.6,6.6,0.1,1.400136375427246,337.6
9.6,7.1,0.1,1.0486990451812743,310.6
9.6,7.6,0.1,1.5524936676025392,360.4
9.6,8.1,0.1,1.4348811626434326,341.2
9.6,8.6,0.1,1.7198428630828857,379.6
9.6,9.1,0.1,1.3258515357971192,329.6
9.6,9.6,0.1,1.3973824024200439,347.6
0.1,0.1,0.2,0.0365023136138916,280.2
0.1,0.6,0.2,0.10471992492675782,265.2
0.1,1.1,0.2,0.0746927261352539,258.8
0.1,1.6,0.2,0.14999690055847167,280.4
0.1,2.1,0.2,0.19217042922973632,288.8
0.1,2.6,0.2,0.10910220146179199,279.2
0.1,3.1,0.2,0.12080163955688476,279.0
0.1,3.6,0.2,0.09779200553894044,276.0
0.1,4.1,0.2,0.15752630233764647,283.0
0.1,4.6,0.2,0.17284817695617677,290.0
0.1,5.1,0.2,0.0810622215270996,277.2
0.1,5.6,0.2,0.18065662384033204,268.8
0.1,6.1,0.2,0.05160355567932129,256.6
0.1,6.6,0.2,0.08707098960876465,277.0
0.1,7.1,0.2,0.05336575508117676,284.0
0.1,7.6,0.2,0.08577089309692383,292.6
0.1,8.1,0.2,0.07088499069213867,295.4
0.1,8.6,0.2,0.1019261360168457,287.4
0.1,9.1,0.2,0.032132434844970706,269.0
0.1,9.6,0.2,0.1613694190979004,284.0
0.6,0.1,0.2,0.04941129684448242,279.4
0.6,0.6,0.2,0.21571803092956543,263.0
0.6,1.1,0.2,0.0821915626525879,277.4
0.6,1.6,0.2,0.16979193687438965,282.0
0.6,2.1,0.2,0.11130223274230958,271.2
0.6,2.6,0.2,0.09980983734130859,295.6
0.6,3.1,0.2,0.08335027694702149,277.0
0.6,3.6,0.2,0.05555086135864258,288.0
0.6,4.1,0.2,0.09784073829650879,268.4
0.6,4.6,0.2,0.033308887481689455,280.0
0.6,5.1,0.2,0.07579898834228516,281.2
0.6,5.6,0.2,0.09375905990600586,287.2
0.6,6.1,0.2,0.07958669662475586,282.8
0.6,6.6,0.2,0.10531654357910156,288.4
0.6,7.1,0.2,0.10382981300354004,266.0
0.6,7.6,0.2,0.09830293655395508,282.2
0.6,8.1,0.2,0.0727546215057373,281.8
0.6,8.6,0.2,0.06593828201293946,284.2
0.6,9.1,0.2,0.1108968734741211,274.2
0.6,9.6,0.2,0.08876304626464844,285.8
1.1,0.1,0.2,0.05405163764953613,278.6
1.1,0.6,0.2,0.03570742607116699,280.2
1.1,1.1,0.2,0.07720298767089843,277.6
1.1,1.6,0.2,0.12260074615478515,264.6
1.1,2.1,0.2,0.04249720573425293,285.8
1.1,2.6,0.2,0.08245768547058105,280.8
1.1,3.1,0.2,0.057880210876464847,289.2
1.1,3.6,0.2,0.029027557373046874,284.6
1.1,4.1,0.2,0.1285372257232666,270.2
1.1,4.6,0.2,0.18674778938293457,289.0
